Pos: x: 2.12119 y: 0.070043 z: -2.15177 | UV: x:0.845719 y: 0.894029 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -3.0642 | UV: x:0.799718 y: 0.889653 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 1.26443 z: -3.01954 | UV: x:0.789448 y: 0.886963 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: -0.522791 y: 1.76126 z: -1.18036 | UV: x:0.36325 y: 0.769927 | Normal: x:-0.098435 y: 0.930953 z: -0.351621
Pos: x: 0.522791 y: 1.76126 z: -1.18036 | UV: x:0.359385 y: 0.818346 | Normal: x:0.098435 y: 0.930953 z: -0.351621
Pos: x: 0.52279 y: 1.52867 z: -1.57392 | UV: x:0.391454 y: 0.817396 | Normal: x:0.138537 y: 0.852596 z: -0.503872
Pos: x: -0.522792 y: 1.52867 z: -1.57392 | UV: x:0.373208 y: 0.78266 | Normal: x:-0.138537 y: 0.852596 z: -0.503872
Pos: x: -2.08188 y: 0.446159 z: 1.69252 | UV: x:0.872481 y: 0.892353 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.244301 z: 1.89438 | UV: x:0.863367 y: 0.893277 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 2.43069 | UV: x:0.846229 y: 0.836978 | Normal: x:-1 y: 0 z: 0
Pos: x: 0.526196 y: 3.53261 z: -3.0662 | UV: x:0.54701 y: 0.758583 | Normal: x:0.089444 y: 0.048946 z: -0.994789
Pos: x: 0.835054 y: 3.51192 z: -2.93826 | UV: x:0.530052 y: 0.75129 | Normal: x:0.494688 y: 0.040964 z: -0.868105
Pos: x: 0.831183 y: 1.15704 z: -2.94211 | UV: x:0.461763 y: 0.876581 | Normal: x:0.494142 y: -0.000296 z: -0.869381
Pos: x: 0.520745 y: 1.12334 z: -3.0662 | UV: x:0.475738 y: 0.890501 | Normal: x:0.089909 y: -0.00011 z: -0.99595
Pos: x: -2.08188 y: 0.982471 z: 1.51826 | UV: x:0.891802 y: 0.889067 | Normal: x:-0.711473 y: -0 z: -0.702713
Pos: x: -1.99538 y: 0.982471 z: 1.43069 | UV: x:0.894412 y: 0.895931 | Normal: x:-0.711473 y: -0 z: -0.702713
Pos: x: -1.99538 y: 0.673454 z: 1.47964 | UV: x:0.88399 y: 0.897864 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
Pos: x: -2.08188 y: 0.700515 z: 1.56292 | UV: x:0.881924 y: 0.890998 | Normal: x:-0.711473 y: -0.21715 z: -0.66832
Pos: x: -2.08188 y: 0.1147 z: 2.14874 | UV: x:0.854484 y: 0.893825 | Normal: x:-0.711473 y: -0.66832 z: -0.21715
Pos: x: -1.99538 y: 0.031415 z: 2.12168 | UV: x:0.854962 y: 0.900759 | Normal: x:-0.711473 y: -0.66832 z: -0.21715
Pos: x: -1.99538 y: -0.017529 z: 2.43069 | UV: x:0.845658 y: 0.900971 | Normal: x:-0.711473 y: -0.702713 z: -0
Pos: x: -2.08188 y: 0.070043 z: 2.43069 | UV: x:0.845719 y: 0.894029 | Normal: x:-0.711473 y: -0.702713 z: -0
Pos: x: -2.08188 y: 0.700515 z: 1.56292 | UV: x:0.881924 y: 0.890998 | Normal: x:-1 y: 0 z: 0
